Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Tag
theta,NA,06/08/2018 12:54 pm,06/08/2018 12:56 pm,00:02:22,0.0396947,NA,theta
phi,NA,06/08/2018 12:56 pm,06/08/2018 1:13 pm,00:17:19,0.288641,NA,phi
review,NA,06/08/2018 1:15 pm,06/08/2018 1:18 pm,00:03:21,0.0559035,NA,psi
theta,NA,06/08/2018 1:20 pm,06/08/2018 1:33 pm,00:13:07,0.2187368,NA,theta
theta,NA,06/08/2018 3:11 pm,06/08/2018 3:29 pm,00:18:31,0.308749,NA,theta
psi,NA,06/08/2018 3:33 pm,06/08/2018 3:36 pm,00:03:03,0.0510689,NA,psi
psi,NA,06/08/2018 3:37 pm,06/08/2018 3:46 pm,00:08:43,0.145496,NA,psi
psi,NA,06/08/2018 6:14 pm,06/08/2018 6:16 pm,00:01:53,0.0316134,NA,psi
review,NA,07/08/2018 2:36 am,07/08/2018 2:44 am,00:08:24,0.1400766,NA,psi
review,NA,07/08/2018 2:48 am,07/08/2018 3:03 am,00:15:50,0.2640042,NA,psi
theta,NA,07/08/2018 3:12 am,07/08/2018 3:32 am,00:20:19,0.3387,NA,theta
review,NA,07/08/2018 3:32 am,07/08/2018 3:34 am,00:01:14,0.020642,NA,psi
phi,NA,07/08/2018 3:53 am,07/08/2018 4:13 am,00:19:36,0.326916,NA,phi
review,NA,07/08/2018 4:13 am,07/08/2018 4:15 am,00:01:43,0.0286709,NA,psi
theta,NA,07/08/2018 4:40 am,07/08/2018 5:08 am,00:27:38,0.460629,NA,theta
psi,NA,07/08/2018 5:50 am,07/08/2018 5:53 am,00:03:02,0.0506185,NA,psi
review,NA,07/08/2018 5:53 am,07/08/2018 6:15 am,00:21:53,0.3649343,NA,psi
psi,NA,07/08/2018 6:15 am,07/08/2018 6:42 am,00:27:08,0.4523114,NA,psi
review,NA,07/08/2018 6:42 am,07/08/2018 6:46 am,00:04:07,0.0686557,NA,psi
psi,NA,07/08/2018 2:34 pm,07/08/2018 2:43 pm,00:08:22,0.1395421,NA,psi
phi,NA,07/08/2018 3:04 pm,07/08/2018 3:24 pm,00:19:53,0.3316527,NA,phi
review,NA,07/08/2018 3:25 pm,07/08/2018 3:27 pm,00:02:53,0.0480584,NA,psi
theta,NA,08/08/2018 10:40 am,08/08/2018 11:08 am,00:28:01,0.4669984,NA,theta
review,NA,09/08/2018 11:05 am,09/08/2018 11:10 am,00:04:51,0.0809861,NA,psi
psi,NA,09/08/2018 11:10 am,09/08/2018 11:17 am,00:06:47,0.1132304,NA,psi
psi,NA,09/08/2018 11:17 am,09/08/2018 11:28 am,00:11:28,0.191126,NA,psi
review,NA,09/08/2018 12:22 pm,09/08/2018 12:24 pm,00:02:00,0.03357,NA,psi
phi,NA,09/08/2018 12:24 pm,09/08/2018 12:27 pm,00:03:22,0.0561937,NA,phi
review,NA,10/08/2018 9:31 am,10/08/2018 9:43 am,00:12:23,0.2064939,NA,psi
review,NA,10/08/2018 10:47 am,10/08/2018 10:52 am,00:04:58,0.082866,NA,psi
review,NA,10/08/2018 11:25 am,10/08/2018 11:30 am,00:04:49,0.080546,NA,psi
phi,NA,10/08/2018 11:37 am,10/08/2018 12:09 pm,00:31:42,0.5285244,NA,phi
phi,NA,10/08/2018 12:21 pm,10/08/2018 12:30 pm,00:08:34,0.1427817,NA,phi
review,NA,10/08/2018 12:30 pm,10/08/2018 12:37 pm,00:07:08,0.1190307,NA,psi
review,NA,10/08/2018 12:41 pm,10/08/2018 12:42 pm,00:01:37,0.0269718,NA,psi
review,NA,11/08/2018 10:43 am,11/08/2018 10:51 am,00:08:06,0.135041,NA,psi
review,NA,11/08/2018 11:11 am,11/08/2018 11:15 am,00:03:42,0.0618566,NA,psi
psi,NA,11/08/2018 11:15 am,11/08/2018 11:19 am,00:03:57,0.0660512,NA,psi
review,NA,11/08/2018 4:17 pm,11/08/2018 4:22 pm,00:04:40,0.0779979,NA,psi
phi,NA,11/08/2018 4:22 pm,11/08/2018 4:24 pm,00:01:44,0.0290932,NA,phi
phi,NA,11/08/2018 4:26 pm,11/08/2018 4:51 pm,00:24:51,0.4141746,NA,phi
theta,NA,11/08/2018 4:52 pm,11/08/2018 5:11 pm,00:19:11,0.3197526,NA,theta
Blog  crafts  wellness,NA,11/08/2018 6:17 pm,11/08/2018 6:51 pm,00:33:17,0.5548322,NA,wellness
phi,NA,11/08/2018 7:01 pm,11/08/2018 7:04 pm,00:03:09,0.0526763,NA,phi
review,NA,11/08/2018 7:04 pm,11/08/2018 7:06 pm,00:02:21,0.0393144,NA,psi
review,NA,11/08/2018 7:48 pm,11/08/2018 7:51 pm,00:02:38,0.0441513,NA,psi
psi,NA,11/08/2018 7:51 pm,11/08/2018 8:01 pm,00:10:37,0.1770776,NA,psi
review,NA,11/08/2018 8:01 pm,11/08/2018 8:03 pm,00:01:21,0.0226652,NA,psi
phi,NA,11/08/2018 8:27 pm,11/08/2018 8:36 pm,00:09:29,0.1582414,NA,phi
review,NA,12/08/2018 8:06 am,12/08/2018 8:26 am,00:19:58,0.3330493,NA,psi
review,NA,12/08/2018 9:21 am,12/08/2018 9:31 am,00:10:33,0.1759316,NA,psi
psi,NA,12/08/2018 1:07 pm,12/08/2018 1:11 pm,00:04:15,0.0709512,NA,psi
review,NA,12/08/2018 1:11 pm,12/08/2018 1:16 pm,00:04:54,0.0818934,NA,psi
phi,NA,12/08/2018 1:16 pm,12/08/2018 1:21 pm,00:04:13,0.0705493,NA,phi
phi,NA,12/08/2018 1:23 pm,12/08/2018 1:37 pm,00:13:15,0.2209164,NA,phi
phi,NA,12/08/2018 1:41 pm,12/08/2018 1:50 pm,00:08:51,0.1475457,NA,phi
phi,NA,12/08/2018 1:59 pm,12/08/2018 2:19 pm,00:20:14,0.337234,NA,phi
review,NA,13/08/2018 3:13 am,13/08/2018 3:24 am,00:10:51,0.1809685,NA,psi
review,NA,13/08/2018 3:30 am,13/08/2018 3:31 am,00:01:26,0.0239294,NA,psi
psi,NA,13/08/2018 4:05 am,13/08/2018 4:21 am,00:16:18,0.2718749,NA,psi
psi,NA,13/08/2018 4:44 am,13/08/2018 4:46 am,00:02:10,0.0361167,NA,psi
phi,NA,13/08/2018 4:55 am,13/08/2018 5:00 am,00:05:22,0.0897019,NA,phi
theta,NA,13/08/2018 5:10 am,13/08/2018 5:29 am,00:18:35,0.3097966,NA,theta
theta,NA,13/08/2018 5:29 am,13/08/2018 5:32 am,00:02:40,0.0444684,NA,theta
phi,NA,13/08/2018 5:32 am,13/08/2018 5:52 am,00:19:34,0.3262149,NA,phi
psi,NA,13/08/2018 12:31 pm,13/08/2018 12:48 pm,00:16:47,0.2797788,NA,psi
review,NA,13/08/2018 12:48 pm,13/08/2018 12:51 pm,00:03:14,0.0539061,NA,psi
phi,NA,13/08/2018 1:03 pm,13/08/2018 2:08 pm,01:05:00,1.0834874,NA,phi
review,NA,13/08/2018 2:25 pm,13/08/2018 2:30 pm,00:04:41,0.0780916,NA,psi
theta,NA,13/08/2018 3:06 pm,13/08/2018 3:26 pm,00:20:04,0.3345974,NA,theta
review,NA,14/08/2018 11:08 am,14/08/2018 11:14 am,00:06:20,0.1057397,NA,psi
review,NA,14/08/2018 11:27 am,14/08/2018 11:29 am,00:02:57,0.0494127,NA,psi
review,NA,14/08/2018 11:37 am,14/08/2018 11:40 am,00:03:09,0.0525474,NA,psi
Blog  crafts  wellness,NA,14/08/2018 11:40 am,14/08/2018 11:45 am,00:04:29,0.0749656,NA,wellness
Blog  crafts  wellness,NA,14/08/2018 11:45 am,14/08/2018 12:15 pm,00:29:39,0.4943118,NA,wellness
phi,NA,14/08/2018 1:16 pm,14/08/2018 1:30 pm,00:13:54,0.2318166,NA,phi
theta,NA,14/08/2018 1:44 pm,14/08/2018 1:50 pm,00:06:23,0.1064246,NA,theta
review,NA,14/08/2018 2:04 pm,14/08/2018 2:05 pm,00:01:13,0.0205497,NA,psi
theta,NA,14/08/2018 2:05 pm,14/08/2018 2:10 pm,00:04:35,0.0763981,NA,theta
review,NA,14/08/2018 2:14 pm,14/08/2018 2:23 pm,00:08:32,0.142495,NA,psi
phi,NA,14/08/2018 2:23 pm,14/08/2018 2:52 pm,00:29:23,0.4899175,NA,phi
review,NA,14/08/2018 3:50 pm,14/08/2018 3:52 pm,00:01:40,0.0279394,NA,psi
phi,NA,14/08/2018 3:52 pm,14/08/2018 4:10 pm,00:18:52,0.3146602,NA,phi
review,NA,15/08/2018 8:30 am,15/08/2018 8:34 am,00:03:55,0.0654013,NA,psi
psi,NA,15/08/2018 8:35 am,15/08/2018 8:58 am,00:23:23,0.3898945,NA,psi
review,NA,15/08/2018 8:58 am,15/08/2018 8:59 am,00:01:19,0.0219476,NA,psi
phi,NA,15/08/2018 8:59 am,15/08/2018 9:02 am,00:02:36,0.0435541,NA,phi
theta,NA,15/08/2018 9:04 am,15/08/2018 9:06 am,00:02:03,0.034398,NA,theta
psi,NA,15/08/2018 9:08 am,15/08/2018 9:31 am,00:23:26,0.390816,NA,psi
phi,NA,15/08/2018 9:31 am,15/08/2018 9:49 am,00:17:19,0.2886125,NA,phi
phi,NA,15/08/2018 10:11 am,15/08/2018 10:34 am,00:23:05,0.384987,NA,phi
review,NA,15/08/2018 10:34 am,15/08/2018 10:36 am,00:02:34,0.0428461,NA,psi
phi,NA,15/08/2018 10:36 am,15/08/2018 10:38 am,00:01:06,0.0183782,NA,phi
theta,NA,15/08/2018 11:09 am,15/08/2018 11:13 am,00:04:09,0.0692566,NA,theta
psi,NA,15/08/2018 11:31 am,15/08/2018 11:53 am,00:22:10,0.3696706,NA,psi
theta,NA,15/08/2018 11:53 am,15/08/2018 12:13 pm,00:19:45,0.3293763,NA,theta
phi,NA,15/08/2018 12:21 pm,15/08/2018 12:40 pm,00:19:24,0.32344,NA,phi
theta,NA,15/08/2018 12:56 pm,15/08/2018 1:01 pm,00:05:23,0.0898663,NA,theta
psi,NA,15/08/2018 1:01 pm,15/08/2018 1:03 pm,00:01:49,0.0303472,NA,psi
theta,NA,15/08/2018 1:03 pm,15/08/2018 1:06 pm,00:03:40,0.06126,NA,theta
theta,NA,15/08/2018 1:24 pm,15/08/2018 1:56 pm,00:32:14,0.5374833,NA,theta
review,NA,15/08/2018 1:57 pm,15/08/2018 2:01 pm,00:04:00,0.0666824,NA,psi
theta,NA,15/08/2018 2:19 pm,15/08/2018 2:37 pm,00:17:48,0.296927,NA,theta
review,NA,15/08/2018 2:37 pm,15/08/2018 2:39 pm,00:02:23,0.0397291,NA,psi
theta,NA,15/08/2018 2:39 pm,15/08/2018 2:55 pm,00:15:45,0.2627379,NA,theta
review,NA,15/08/2018 2:57 pm,15/08/2018 2:59 pm,00:01:28,0.0246584,NA,psi
phi,NA,15/08/2018 3:04 pm,15/08/2018 3:21 pm,00:17:09,0.2859442,NA,phi
theta,NA,15/08/2018 3:21 pm,15/08/2018 3:35 pm,00:13:57,0.2327714,NA,theta
review,NA,15/08/2018 3:36 pm,15/08/2018 3:37 pm,00:01:52,0.0311737,NA,psi
review,NA,16/08/2018 7:50 am,16/08/2018 7:57 am,00:07:31,0.1254749,NA,psi
review,NA,16/08/2018 9:33 am,16/08/2018 9:45 am,00:11:29,0.1916019,NA,psi
psi,NA,16/08/2018 9:45 am,16/08/2018 9:50 am,00:05:21,0.089404,NA,psi
psi,NA,16/08/2018 9:53 am,16/08/2018 10:18 am,00:25:27,0.424169,NA,psi
psi,NA,16/08/2018 10:42 am,16/08/2018 10:56 am,00:13:48,0.2300783,NA,psi
review,NA,16/08/2018 12:49 pm,16/08/2018 12:50 pm,00:01:47,0.0299633,NA,psi
phi,NA,16/08/2018 12:50 pm,16/08/2018 1:22 pm,00:31:45,0.5292853,NA,phi
theta,NA,16/08/2018 1:34 pm,16/08/2018 1:35 pm,00:01:42,0.0283995,NA,theta
theta,NA,16/08/2018 1:47 pm,16/08/2018 2:08 pm,00:20:08,0.3356101,NA,theta
phi,NA,16/08/2018 2:19 pm,16/08/2018 2:38 pm,00:18:39,0.3109052,NA,phi
psi,NA,16/08/2018 2:38 pm,16/08/2018 3:03 pm,00:24:15,0.4042241,NA,psi
review,NA,16/08/2018 3:03 pm,16/08/2018 3:04 pm,00:01:33,0.0258423,NA,psi
phi,NA,16/08/2018 3:05 pm,16/08/2018 4:12 pm,01:07:20,1.1224628,NA,phi
phi,NA,16/08/2018 4:12 pm,16/08/2018 4:16 pm,00:03:53,0.0647841,NA,phi
review,NA,16/08/2018 4:16 pm,16/08/2018 4:36 pm,00:19:52,0.3313685,NA,psi
review,NA,16/08/2018 4:36 pm,16/08/2018 4:40 pm,00:04:03,0.0677417,NA,psi
theta,NA,16/08/2018 4:40 pm,16/08/2018 4:52 pm,00:11:36,0.1934582,NA,theta
psi,NA,16/08/2018 4:59 pm,16/08/2018 5:06 pm,00:07:10,0.1196044,NA,psi
psi,NA,16/08/2018 6:02 pm,16/08/2018 6:22 pm,00:20:11,0.3364147,NA,psi
review,NA,16/08/2018 6:22 pm,16/08/2018 6:26 pm,00:03:35,0.0597372,NA,psi
phi,NA,16/08/2018 6:26 pm,16/08/2018 6:27 pm,00:01:32,0.0255997,NA,phi
review,NA,16/08/2018 10:06 pm,16/08/2018 10:08 pm,00:01:28,0.0245384,NA,psi
psi,NA,16/08/2018 10:08 pm,16/08/2018 10:16 pm,00:07:40,0.1278406,NA,psi
phi,NA,16/08/2018 10:16 pm,16/08/2018 10:27 pm,00:11:29,0.1915535,NA,phi
phi,NA,16/08/2018 10:34 pm,16/08/2018 10:36 pm,00:02:18,0.0383615,NA,phi
psi,NA,16/08/2018 10:36 pm,16/08/2018 10:39 pm,00:02:24,0.0400289,NA,psi
phi,NA,16/08/2018 10:39 pm,16/08/2018 10:46 pm,00:07:22,0.1229486,NA,phi
review,NA,16/08/2018 10:52 pm,16/08/2018 10:56 pm,00:04:02,0.0672695,NA,psi
phi,NA,16/08/2018 10:56 pm,16/08/2018 11:10 pm,00:14:16,0.2377948,NA,phi
phi,NA,16/08/2018 11:10 pm,16/08/2018 11:20 pm,00:09:10,0.152809,NA,phi
review,NA,16/08/2018 11:20 pm,16/08/2018 11:22 pm,00:02:04,0.0344626,NA,psi
review,NA,17/08/2018 7:38 am,17/08/2018 7:54 am,00:16:42,0.2785968,NA,psi
phi,NA,17/08/2018 7:54 am,17/08/2018 7:59 am,00:04:54,0.0819206,NA,phi
phi,NA,17/08/2018 8:15 am,17/08/2018 8:34 am,00:19:46,0.32961,NA,phi
psi,NA,17/08/2018 8:47 am,17/08/2018 8:52 am,00:04:47,0.0797828,NA,psi
phi,NA,17/08/2018 9:16 am,17/08/2018 9:31 am,00:15:10,0.2528755,NA,phi
phi,NA,17/08/2018 10:03 am,17/08/2018 10:14 am,00:11:20,0.1891341,NA,phi
psi,NA,17/08/2018 10:15 am,17/08/2018 10:19 am,00:03:33,0.0593513,NA,psi
psi,NA,17/08/2018 10:19 am,17/08/2018 10:22 am,00:02:52,0.0480023,NA,psi
review,NA,17/08/2018 10:51 am,17/08/2018 11:01 am,00:09:22,0.1562551,NA,psi
phi,NA,17/08/2018 11:01 am,17/08/2018 11:29 am,00:28:34,0.4762659,NA,phi
review,NA,17/08/2018 11:29 am,17/08/2018 11:43 am,00:13:24,0.223545,NA,psi
psi,NA,17/08/2018 3:39 pm,17/08/2018 4:04 pm,00:25:29,0.4249546,NA,psi
psi,NA,17/08/2018 4:04 pm,17/08/2018 4:11 pm,00:06:53,0.1147334,NA,psi
phi,NA,17/08/2018 7:49 pm,17/08/2018 8:27 pm,00:37:57,0.6327775,NA,phi
review,NA,18/08/2018 8:52 am,18/08/2018 9:06 am,00:13:24,0.2233575,NA,psi
psi,NA,18/08/2018 9:10 am,18/08/2018 9:22 am,00:11:46,0.1963018,NA,psi
phi,NA,18/08/2018 9:38 am,18/08/2018 9:50 am,00:11:48,0.1968618,NA,phi
psi,NA,18/08/2018 10:36 am,18/08/2018 10:38 am,00:02:09,0.0360791,NA,psi
review,NA,18/08/2018 10:38 am,18/08/2018 10:56 am,00:17:18,0.2883353,NA,psi
phi,NA,18/08/2018 10:56 am,18/08/2018 11:09 am,00:13:12,0.2201595,NA,phi
theta,NA,18/08/2018 11:09 am,18/08/2018 11:21 am,00:11:53,0.1983037,NA,theta
review,NA,18/08/2018 11:21 am,18/08/2018 11:22 am,00:01:27,0.0242838,NA,psi
phi,NA,18/08/2018 3:50 pm,18/08/2018 3:58 pm,00:07:50,0.130628,NA,phi
psi,NA,18/08/2018 3:58 pm,18/08/2018 3:59 pm,00:01:03,0.0175289,NA,psi
theta,NA,18/08/2018 3:59 pm,18/08/2018 4:04 pm,00:05:32,0.0923664,NA,theta
theta,NA,18/08/2018 4:04 pm,18/08/2018 4:14 pm,00:09:41,0.1614344,NA,theta
review,NA,18/08/2018 4:14 pm,18/08/2018 4:18 pm,00:04:24,0.0735527,NA,psi
phi,NA,18/08/2018 4:18 pm,18/08/2018 4:21 pm,00:02:26,0.0406124,NA,phi
theta,NA,18/08/2018 4:21 pm,18/08/2018 4:37 pm,00:16:13,0.2705522,NA,theta
review,NA,18/08/2018 4:37 pm,18/08/2018 4:41 pm,00:03:56,0.0656362,NA,psi
theta,NA,18/08/2018 4:41 pm,18/08/2018 4:44 pm,00:02:28,0.0411836,NA,theta
phi,NA,18/08/2018 4:44 pm,18/08/2018 4:52 pm,00:08:04,0.1344764,NA,phi
review,NA,18/08/2018 4:52 pm,18/08/2018 4:53 pm,00:01:32,0.0257958,NA,psi
review,NA,19/08/2018 8:43 am,19/08/2018 8:58 am,00:14:38,0.2439415,NA,psi
review,NA,19/08/2018 8:58 am,19/08/2018 9:05 am,00:07:35,0.1266653,NA,psi
phi,NA,19/08/2018 11:46 am,19/08/2018 12:06 pm,00:20:03,0.3342564,NA,phi
psi,NA,19/08/2018 12:06 pm,19/08/2018 12:19 pm,00:13:08,0.2189658,NA,psi
phi,NA,19/08/2018 12:24 pm,19/08/2018 12:54 pm,00:30:18,0.5051113,NA,phi
phi,NA,19/08/2018 12:58 pm,19/08/2018 1:12 pm,00:14:24,0.240275,NA,phi
review,NA,19/08/2018 1:12 pm,19/08/2018 1:13 pm,00:01:01,0.0170028,NA,psi
theta,NA,19/08/2018 1:28 pm,19/08/2018 1:47 pm,00:18:44,0.312476,NA,theta
phi,NA,19/08/2018 1:47 pm,19/08/2018 1:49 pm,00:02:16,0.0377891,NA,phi
review,NA,19/08/2018 1:49 pm,19/08/2018 1:51 pm,00:01:45,0.0293571,NA,psi
theta,NA,19/08/2018 1:51 pm,19/08/2018 1:54 pm,00:02:49,0.0471857,NA,theta
review,NA,19/08/2018 1:54 pm,19/08/2018 1:55 pm,00:01:08,0.019088,NA,psi
review,NA,19/08/2018 2:08 pm,19/08/2018 2:12 pm,00:04:01,0.067212,NA,psi
phi,NA,19/08/2018 3:02 pm,19/08/2018 3:22 pm,00:19:51,0.3310937,NA,phi
review,NA,20/08/2018 1:44 pm,20/08/2018 1:51 pm,00:07:49,0.130377,NA,psi
psi,NA,20/08/2018 1:52 pm,20/08/2018 2:19 pm,00:27:26,0.4574958,NA,psi
phi,NA,20/08/2018 2:19 pm,20/08/2018 2:30 pm,00:11:30,0.1918669,NA,phi
theta,NA,20/08/2018 2:31 pm,20/08/2018 2:54 pm,00:22:38,0.3773647,NA,theta
psi,NA,20/08/2018 5:06 pm,20/08/2018 5:13 pm,00:07:10,0.1195381,NA,psi
Blog  crafts  wellness,NA,20/08/2018 5:44 pm,20/08/2018 6:27 pm,00:43:02,0.7174856,NA,wellness
review,NA,21/08/2018 7:11 am,21/08/2018 7:21 am,00:09:53,0.1649997,NA,psi
psi,NA,21/08/2018 7:21 am,21/08/2018 7:42 am,00:20:59,0.3499892,NA,psi
review,NA,21/08/2018 8:19 am,21/08/2018 8:20 am,00:01:17,0.0215646,NA,psi
